order_id,payment_sequential,payment_type,payment_installments,payment_value
order_00000053,1,credit_card,3,59.65
order_00000054,1,credit_card,10,113.96
order_00000055,1,boleto,1,17.78
order_00000056,1,voucher,1,29.73
order_00000057,1,credit_card,8,16.92
order_00000058,1,credit_card,1,31.8
order_00000058,2,boleto,1,49.68
order_00000059,1,credit_card,1,711.32
order_00000060,1,credit_card,1,79.93
order_00000061,1,credit_card,5,78.68
order_00000062,1,voucher,1,135.17
order_00000063,1,boleto,1,114.06
order_00000064,1,credit_card,2,73.9
order_00000065,1,credit_card,1,135.92
order_00000066,1,voucher,1,111.86
order_00000067,1,credit_card,4,61.34
order_00000068,1,credit_card,4,206.12
order_00000069,1,credit_card,1,52.98
order_00000070,1,debit_card,1,157.23
order_00000071,1,credit_card,1,17.56
order_00000072,1,boleto,1,90.48
order_00000073,1,credit_card,10,37.9
order_00000074,1,voucher,1,74.16
order_00000075,1,credit_card,1,763.91
order_00000076,1,credit_card,3,167.84
order_00000077,1,credit_card,5,64.83
order_00000078,1,credit_card,5,112.76
order_00000079,1,boleto,1,68.13
order_00000080,1,credit_card,1,64.29
order_00000081,1,boleto,1,172.25
order_00000082,1,credit_card,2,156.59
order_00000083,1,credit_card,3,328.81
order_00000084,1,credit_card,8,39.11
order_00000084,2,credit_card,1,53.73
order_00000085,1,credit_card,4,56.57
order_00000086,1,debit_card,1,18.31
order_00000087,1,credit_card,2,169.61
order_00000088,1,credit_card,1,392.72
order_00000089,1,credit_card,1,32.87
order_00000090,1,debit_card,1,293.1
order_00000091,1,boleto,1,120.14
order_00000092,1,credit_card,3,22.75
order_00000093,1,credit_card,3,89.87
order_00000094,1,credit_card,2,55.58
order_00000094,2,credit_card,10,44.23
order_00000095,1,credit_card,1,125.94
order_00000096,1,credit_card,3,53.7
order_00000097,1,voucher,1,282.53
order_00000098,1,boleto,1,94.88
order_00000099,1,credit_card,1,33.82
order_00000100,1,credit_card,8,66.55
order_00000101,1,credit_card,6,194.06
order_00000102,1,credit_card,2,134.2
order_00000103,1,boleto,1,105.21
order_00000104,1,credit_card,4,22.79
order_00000105,1,boleto,1,146.33
order_00000106,1,boleto,1,73.63
order_00000107,1,credit_card,10,113.6
order_00000108,1,credit_card,2,240.14
order_00000109,1,boleto,1,263.49
order_00000110,1,credit_card,5,28.37
order_00000111,1,credit_card,1,34.81
order_00000112,1,boleto,1,128.69
order_00000113,1,credit_card,4,299.26
order_00000114,1,credit_card,1,183.73
order_00000115,1,credit_card,4,81.08
order_00000116,1,credit_card,6,156.45
order_00000117,1,boleto,1,35.97
order_00000118,1,credit_card,3,38.56
order_00000119,1,credit_card,4,39.79
order_00000120,1,credit_card,2,79.07
order_00000121,1,debit_card,1,273.63
order_00000121,2,boleto,1,180.3
order_00000122,1,boleto,1,68.28
order_00000123,1,credit_card,3,146.09
order_00000124,1,boleto,1,69.01
order_00000125,1,credit_card,6,86.44
order_00000126,1,boleto,1,117.23
order_00000127,1,credit_card,4,141.69
order_00000128,1,credit_card,8,188.88
order_00000129,1,credit_card,1,31.81
order_00000130,1,credit_card,6,31.59
order_00000131,1,credit_card,4,85.69
order_00000132,1,credit_card,2,14.85
order_00000133,1,credit_card,10,74.51
order_00000134,1,credit_card,1,61.44
order_00000135,1,credit_card,10,101.23
order_00000136,1,credit_card,8,98.93
order_00000137,1,credit_card,4,82.91
order_00000138,1,credit_card,1,140.43
order_00000139,1,credit_card,1,109.98
order_00000140,1,boleto,1,65.19
order_00000141,1,credit_card,2,455.92
order_00000142,1,boleto,1,111.73
order_00000143,1,credit_card,1,26.21
order_00000144,1,credit_card,5,42.04
order_00000145,1,voucher,1,106.78
order_00000146,1,debit_card,1,97.86
order_00000147,1,credit_card,3,303.13
order_00000148,1,credit_card,1,26.4
order_00000149,1,credit_card,1,141.84
order_00000150,1,credit_card,6,101.32
order_00000151,1,credit_card,4,68.77
order_00000152,1,credit_card,1,35.42
order_00000153,1,credit_card,3,37.36
order_00000154,1,credit_card,1,92.15
order_00000155,1,credit_card,2,36.73
order_00000156,1,credit_card,2,610.27
order_00000157,1,credit_card,2,91.28
order_00000158,1,credit_card,1,177.15
order_00000159,1,credit_card,10,111.97
order_00000160,1,credit_card,3,502.1
order_00000161,1,debit_card,1,88.97
order_00000162,1,boleto,1,138.03
order_00000163,1,credit_card,4,156.94
order_00000164,1,credit_card,1,22.41
order_00000165,1,boleto,1,181.26
order_00000166,1,credit_card,1,388.82
order_00000167,1,credit_card,4,41.79
order_00000168,1,boleto,1,104.11
order_00000169,1,boleto,1,131.12
order_00000170,1,boleto,1,191.55
order_00000171,1,boleto,1,72.83
order_00000172,1,credit_card,6,24.47
order_00000173,1,credit_card,4,358.68
order_00000174,1,credit_card,4,37.54
order_00000175,1,credit_card,1,73.34
order_00000176,1,boleto,1,28.12
order_00000177,1,boleto,1,115.08
order_00000178,1,credit_card,5,263.95
order_00000179,1,credit_card,8,19.7
order_00000180,1,credit_card,3,46.76
order_00000181,1,boleto,1,21.36
order_00000182,1,credit_card,2,51.96
order_00000183,1,credit_card,8,246.05
order_00000184,1,boleto,1,328.99
order_00000185,1,debit_card,1,367.67
order_00000186,1,credit_card,1,85.9
order_00000187,1,credit_card,10,67.45
order_00000188,1,credit_card,1,171.94
order_00000189,1,credit_card,4,49.9
order_00000190,1,credit_card,4,18.91
order_00000191,1,credit_card,6,14.69
order_00000192,1,credit_card,4,117.25
order_00000193,1,credit_card,1,38.73
order_00000194,1,credit_card,10,70.86
order_00000195,1,credit_card,1,28.13
order_00000196,1,credit_card,4,77.23
order_00000197,1,credit_card,4,22.95
order_00000198,1,credit_card,6,72.89
order_00000199,1,credit_card,1,90.48
order_00000200,1,boleto,1,33.22
order_00000201,1,credit_card,4,29.58
order_00000202,1,credit_card,5,51.29
order_00000203,1,credit_card,3,54.79
order_00000204,1,credit_card,2,36.57
order_00000205,1,credit_card,1,53.89
order_00000206,1,credit_card,6,122.59
order_00000207,1,credit_card,1,106.26
order_00000208,1,boleto,1,83.13
order_00000209,1,credit_card,1,92.83
order_00000210,1,boleto,1,29.96
order_00000211,1,credit_card,6,109.77
order_00000212,1,credit_card,1,105.34
order_00000213,1,debit_card,1,30.95
order_00000214,1,credit_card,2,243.61
order_00000215,1,boleto,1,76.61
order_00000216,1,credit_card,6,34.74
order_00000217,1,credit_card,4,44.48
order_00000218,1,boleto,1,427.08
order_00000219,1,credit_card,4,67.22
order_00000220,1,credit_card,4,156.41
order_00000221,1,credit_card,10,126.34
order_00000222,1,boleto,1,41.07
order_00000223,1,credit_card,1,305.39
order_00000224,1,voucher,1,47.44
order_00000225,1,boleto,1,97.47
order_00000226,1,credit_card,2,75.98
order_00000227,1,credit_card,4,15.85
order_00000228,1,credit_card,2,20.47
order_00000229,1,credit_card,2,10.31
order_00000230,1,credit_card,5,48.87
order_00000231,1,credit_card,3,40.4
order_00000232,1,boleto,1,25.82
order_00000233,1,credit_card,1,17.28
order_00000234,1,credit_card,1,90.11
order_00000235,1,credit_card,8,35.2
order_00000236,1,credit_card,1,29.34
order_00000237,1,credit_card,5,646.43
order_00000238,1,boleto,1,214.3
order_00000239,1,credit_card,10,47.42
order_00000240,1,debit_card,1,96.96
order_00000241,1,credit_card,3,215.52
order_00000242,1,boleto,1,17.47
order_00000243,1,credit_card,1,15.95
order_00000243,2,credit_card,1,8.15
order_00000244,1,credit_card,1,22.27
order_00000245,1,boleto,1,22.15
order_00000246,1,credit_card,4,64.0
order_00000247,1,boleto,1,225.99
order_00000248,1,boleto,1,19.5
order_00000249,1,credit_card,10,34.57
order_00000250,1,voucher,1,138.41
order_00000251,1,credit_card,10,55.28
order_00000252,1,credit_card,3,52.34
order_00000253,1,credit_card,1,14.73
order_00000254,1,credit_card,3,151.48
order_00000255,1,voucher,1,321.78
order_00000256,1,debit_card,1,32.33
order_00000257,1,credit_card,2,167.21
order_00000258,1,credit_card,1,226.23
order_00000259,1,boleto,1,67.76
order_00000260,1,credit_card,1,42.28
order_00000261,1,credit_card,6,517.33
order_00000262,1,credit_card,1,107.42
order_00000263,1,boleto,1,74.07
order_00000264,1,credit_card,10,82.41
order_00000265,1,credit_card,6,92.81
order_00000266,1,credit_card,10,64.26
order_00000267,1,credit_card,6,134.87
order_00000268,1,credit_card,4,39.49
order_00000269,1,credit_card,4,151.33
order_00000270,1,credit_card,1,378.34
order_00000271,1,boleto,1,133.36
order_00000272,1,credit_card,3,159.21
order_00000273,1,credit_card,1,51.65
order_00000274,1,credit_card,4,352.88
order_00000275,1,credit_card,1,17.55
order_00000276,1,credit_card,3,21.25
order_00000277,1,boleto,1,70.91
order_00000278,1,voucher,1,37.7
order_00000279,1,credit_card,1,120.66
order_00000280,1,credit_card,3,24.71
order_00000281,1,boleto,1,394.97
order_00000282,1,credit_card,5,45.95
order_00000282,2,credit_card,6,53.37
order_00000283,1,boleto,1,48.25
order_00000284,1,credit_card,6,33.35
order_00000285,1,voucher,1,252.85
order_00000286,1,credit_card,4,368.61
order_00000287,1,boleto,1,65.02
order_00000288,1,credit_card,2,62.02
order_00000289,1,credit_card,2,281.08
order_00000290,1,boleto,1,323.76
order_00000291,1,credit_card,1,40.49
order_00000292,1,credit_card,4,207.7
order_00000293,1,credit_card,1,413.39
order_00000294,1,credit_card,1,25.45
order_00000295,1,credit_card,1,455.25
order_00000296,1,boleto,1,144.98
order_00000297,1,credit_card,2,124.23
order_00000297,2,voucher,1,96.72
order_00000298,1,credit_card,1,44.14
order_00000298,2,credit_card,1,90.06
order_00000299,1,credit_card,1,19.92
order_00000300,1,credit_card,4,34.75
order_00000301,1,credit_card,1,28.36
order_00000301,2,credit_card,3,65.77
order_00000302,1,credit_card,6,25.56
order_00000303,1,credit_card,2,372.77
order_00000304,1,credit_card,1,59.75
order_00000305,1,boleto,1,114.69
order_00000306,1,credit_card,3,76.28
order_00000307,1,credit_card,3,20.85
order_00000308,1,boleto,1,35.14
order_00000309,1,credit_card,1,50.72
order_00000310,1,credit_card,10,20.91
order_00000311,1,boleto,1,117.24
order_00000312,1,credit_card,3,270.09
order_00000313,1,boleto,1,163.98
order_00000314,1,credit_card,2,45.25
order_00000315,1,boleto,1,95.6
order_00000316,1,boleto,1,187.92
order_00000317,1,credit_card,1,53.46
order_00000318,1,credit_card,1,122.77
order_00000319,1,credit_card,8,99.37
order_00000320,1,boleto,1,104.11
order_00000321,1,boleto,1,67.0
order_00000322,1,credit_card,10,119.07
order_00000323,1,credit_card,3,92.27
order_00000324,1,credit_card,3,40.73
order_00000325,1,credit_card,1,238.97
order_00000326,1,credit_card,2,147.72
order_00000327,1,credit_card,2,69.0
order_00000328,1,credit_card,2,43.64
order_00000329,1,credit_card,2,224.97
order_00000330,1,credit_card,3,328.48
order_00000331,1,boleto,1,267.92
order_00000332,1,credit_card,4,21.25
order_00000333,1,credit_card,3,40.29
order_00000334,1,credit_card,8,577.79
order_00000335,1,voucher,1,74.82
order_00000336,1,credit_card,5,15.95
order_00000337,1,credit_card,8,38.99
order_00000338,1,credit_card,6,132.93
order_00000339,1,credit_card,1,42.66
order_00000340,1,credit_card,3,115.89
order_00000341,1,credit_card,1,148.68
order_00000342,1,voucher,1,34.07
order_00000343,1,voucher,1,54.58
order_00000343,2,credit_card,4,74.22
order_00000344,1,boleto,1,234.88
order_00000345,1,debit_card,1,51.34
order_00000346,1,boleto,1,334.94
order_00000347,1,credit_card,8,57.57
order_00000347,2,boleto,1,53.25
order_00000348,1,boleto,1,249.36
order_00000349,1,credit_card,4,145.28
order_00000350,1,credit_card,1,132.02
order_00000351,1,credit_card,1,300.93
order_00000352,1,boleto,1,50.83
order_00000353,1,credit_card,6,22.98
order_00000354,1,credit_card,1,10.0
order_00000355,1,boleto,1,53.01
order_00000356,1,boleto,1,371.65
order_00000357,1,credit_card,5,181.47
order_00000358,1,boleto,1,33.83
order_00000359,1,credit_card,1,20.06
order_00000360,1,credit_card,4,40.41
order_00000361,1,credit_card,5,45.18
order_00000362,1,credit_card,1,22.22
order_00000362,2,boleto,1,14.62
order_00000363,1,credit_card,1,51.46
order_00000364,1,credit_card,3,145.85
order_00000365,1,credit_card,5,80.18
order_00000366,1,credit_card,2,145.95
order_00000367,1,credit_card,4,182.92
order_00000368,1,credit_card,1,51.72
order_00000369,1,credit_card,3,399.14
order_00000370,1,boleto,1,89.48
order_00000371,1,boleto,1,45.25
order_00000372,1,credit_card,5,44.49
order_00000373,1,credit_card,4,16.62
order_00000374,1,boleto,1,86.28
order_00000375,1,credit_card,8,74.48
order_00000376,1,boleto,1,88.24
order_00000377,1,boleto,1,163.41
order_00000378,1,credit_card,1,159.32
order_00000379,1,credit_card,10,64.99
order_00000380,1,credit_card,2,89.02
order_00000381,1,credit_card,4,167.84
order_00000382,1,credit_card,2,99.01
order_00000383,1,debit_card,1,100.9
order_00000384,1,boleto,1,66.65
order_00000385,1,credit_card,4,82.53
order_00000386,1,boleto,1,252.45
order_00000387,1,credit_card,2,86.11
order_00000388,1,credit_card,1,104.98
order_00000389,1,credit_card,1,124.09
order_00000390,1,credit_card,2,268.09
order_00000391,1,credit_card,1,332.21
order_00000392,1,credit_card,1,234.03
order_00000393,1,voucher,1,303.6
order_00000394,1,credit_card,1,171.23
order_00000395,1,credit_card,10,33.24
order_00000396,1,credit_card,1,410.82
order_00000397,1,credit_card,3,57.12
order_00000398,1,credit_card,2,218.71
order_00000399,1,credit_card,2,329.09
order_00000400,1,credit_card,8,68.64
order_00000401,1,boleto,1,84.61
order_00000402,1,credit_card,1,22.83
order_00000403,1,credit_card,2,36.02
order_00000404,1,credit_card,8,359.24
order_00000405,1,boleto,1,277.37
order_00000406,1,boleto,1,87.33
order_00000407,1,boleto,1,63.62
order_00000408,1,boleto,1,109.24
order_00000409,1,voucher,1,273.28
order_00000410,1,credit_card,4,256.42
order_00000411,1,credit_card,1,234.83
order_00000412,1,credit_card,1,49.23
order_00000413,1,credit_card,3,80.94
order_00000414,1,credit_card,5,20.91
order_00000415,1,boleto,1,153.01
order_00000416,1,boleto,1,402.94
order_00000417,1,voucher,1,71.67
order_00000418,1,credit_card,1,191.54
order_00000419,1,credit_card,1,41.6
order_00000420,1,credit_card,10,22.25
order_00000421,1,credit_card,2,146.33
order_00000422,1,credit_card,5,92.34
order_00000423,1,credit_card,2,25.75
order_00000424,1,boleto,1,108.3
order_00000425,1,credit_card,1,262.94
order_00000426,1,credit_card,8,145.74
order_00000427,1,credit_card,1,153.49
order_00000428,1,credit_card,4,230.09
order_00000429,1,credit_card,1,95.37
order_00000430,1,credit_card,4,240.21
order_00000431,1,credit_card,4,17.65
order_00000432,1,credit_card,6,112.8
order_00000433,1,credit_card,4,34.3
order_00000434,1,credit_card,6,24.77
order_00000435,1,voucher,1,71.57
order_00000436,1,credit_card,10,180.38
order_00000437,1,credit_card,6,98.73
order_00000438,1,debit_card,1,89.91
order_00000439,1,credit_card,5,122.28
order_00000440,1,credit_card,5,215.28
order_00000441,1,credit_card,1,64.67
order_00000442,1,credit_card,3,186.48
order_00000443,1,credit_card,4,33.66
order_00000443,2,credit_card,3,35.91
order_00000444,1,boleto,1,49.19
order_00000445,1,credit_card,1,287.21
order_00000445,2,credit_card,3,194.05
order_00000446,1,credit_card,1,436.32
order_00000447,1,credit_card,4,217.91
order_00000448,1,credit_card,1,31.66
order_00000449,1,credit_card,1,51.44
order_00000450,1,credit_card,1,38.62
order_00000451,1,credit_card,1,275.32
order_00000452,1,credit_card,8,33.21
order_00000453,1,credit_card,5,123.54
order_00000454,1,credit_card,5,307.15
order_00000455,1,credit_card,2,26.99
order_00000456,1,credit_card,2,23.61
order_00000457,1,credit_card,10,19.15
order_00000457,2,credit_card,2,15.29
order_00000458,1,credit_card,10,53.55
order_00000459,1,credit_card,2,145.15
order_00000460,1,credit_card,6,77.9
order_00000461,1,credit_card,6,83.17
order_00000462,1,credit_card,3,43.64
order_00000463,1,boleto,1,84.89
order_00000464,1,boleto,1,68.95
order_00000465,1,credit_card,1,33.63
order_00000466,1,boleto,1,39.78
order_00000467,1,credit_card,1,67.9
order_00000468,1,credit_card,8,82.55
order_00000469,1,credit_card,2,374.35
order_00000470,1,credit_card,10,139.1
order_00000471,1,credit_card,4,23.37
order_00000472,1,boleto,1,37.83
order_00000473,1,credit_card,4,344.45
order_00000474,1,credit_card,1,285.48
order_00000475,1,credit_card,6,160.5
order_00000476,1,credit_card,5,81.51
order_00000477,1,credit_card,1,63.25
order_00000478,1,boleto,1,64.83
order_00000479,1,credit_card,5,86.74
order_00000480,1,boleto,1,342.8
order_00000481,1,boleto,1,51.1
order_00000482,1,credit_card,1,22.73
order_00000482,2,credit_card,1,28.83
order_00000483,1,boleto,1,268.28
order_00000484,1,credit_card,1,12.48
order_00000485,1,voucher,1,88.9
order_00000486,1,credit_card,1,100.12
order_00000487,1,credit_card,2,16.79
order_00000488,1,boleto,1,80.03
order_00000489,1,credit_card,5,89.23
order_00000490,1,voucher,1,136.1
order_00000491,1,credit_card,1,129.85
order_00000492,1,credit_card,6,49.91
order_00000492,2,credit_card,1,37.33
order_00000493,1,credit_card,4,47.92
order_00000494,1,credit_card,2,78.77
order_00000495,1,credit_card,4,44.77
order_00000496,1,credit_card,1,108.99
order_00000497,1,credit_card,1,208.75
order_00000498,1,debit_card,1,100.11
order_00000499,1,credit_card,2,160.36
order_00000500,1,voucher,1,62.78
order_00000500,2,boleto,1,54.44
order_00000501,1,credit_card,1,55.89
order_00000502,1,credit_card,3,119.91
order_00000503,1,voucher,1,52.84
order_00000504,1,boleto,1,148.07
order_00000505,1,credit_card,8,71.27
order_00000506,1,boleto,1,77.57
order_00000507,1,credit_card,1,215.87
order_00000508,1,credit_card,2,116.02
order_00000509,1,credit_card,5,104.41
order_00000510,1,credit_card,6,281.6
order_00000511,1,credit_card,2,229.96
order_00000512,1,credit_card,6,62.44
order_00000513,1,voucher,1,55.43
order_00000514,1,credit_card,4,148.26
order_00000515,1,credit_card,3,43.33
order_00000516,1,boleto,1,71.71
order_00000517,1,credit_card,1,59.49
order_00000518,1,credit_card,3,57.13
order_00000519,1,credit_card,3,29.91
order_00000520,1,credit_card,2,30.85
order_00000521,1,boleto,1,118.91
order_00000522,1,credit_card,5,41.41
order_00000523,1,credit_card,8,39.18
order_00000523,2,boleto,1,88.17
order_00000524,1,credit_card,3,224.14
order_00000524,2,credit_card,4,102.93
order_00000525,1,credit_card,2,72.85
order_00000525,2,credit_card,2,117.08
order_00000526,1,credit_card,1,119.25
order_00000527,1,credit_card,2,119.05
order_00000528,1,boleto,1,126.1
order_00000529,1,credit_card,10,59.95
order_00000530,1,credit_card,6,13.06
order_00000531,1,credit_card,1,28.12
order_00000532,1,credit_card,4,62.85
order_00000533,1,credit_card,10,76.13
order_00000534,1,credit_card,1,131.54
order_00000535,1,credit_card,2,106.12
order_00000536,1,credit_card,2,49.0
order_00000537,1,boleto,1,250.38
order_00000538,1,credit_card,1,155.96
order_00000539,1,credit_card,1,53.04
order_00000540,1,boleto,1,182.51
order_00000541,1,debit_card,1,22.8
order_00000542,1,credit_card,1,216.64
order_00000543,1,voucher,1,53.85
order_00000544,1,credit_card,5,27.58
order_00000545,1,credit_card,1,32.31
order_00000546,1,credit_card,1,298.83
order_00000547,1,credit_card,2,91.28
order_00000548,1,credit_card,10,49.13
order_00000549,1,boleto,1,89.17
order_00000550,1,credit_card,2,314.34
order_00000551,1,boleto,1,9.42
order_00000552,1,boleto,1,26.45
order_00000553,1,credit_card,8,117.58
order_00000554,1,credit_card,6,25.15
order_00000555,1,credit_card,6,107.07
order_00000556,1,boleto,1,114.6
order_00000557,1,boleto,1,94.6
order_00000558,1,credit_card,1,86.24
order_00000559,1,credit_card,6,102.04
order_00000560,1,credit_card,1,27.04
order_00000561,1,credit_card,1,839.91
order_00000562,1,boleto,1,216.89
order_00000563,1,credit_card,1,155.05
order_00000564,1,credit_card,1,259.22
order_00000565,1,voucher,1,78.4
order_00000566,1,voucher,1,66.79
order_00000567,1,credit_card,10,116.21
order_00000568,1,boleto,1,65.11
order_00000569,1,boleto,1,48.93
order_00000569,2,boleto,1,46.04
order_00000570,1,boleto,1,174.89
order_00000571,1,credit_card,5,63.53
order_00000572,1,credit_card,1,159.5
order_00000573,1,credit_card,2,201.23
order_00000574,1,credit_card,6,31.04
order_00000574,2,credit_card,2,29.87
order_00000575,1,credit_card,4,202.96
order_00000576,1,credit_card,1,461.35
order_00000577,1,boleto,1,296.93
order_00000578,1,boleto,1,155.82
order_00000579,1,credit_card,10,596.27
order_00000580,1,credit_card,1,89.88
order_00000581,1,credit_card,4,78.27
order_00000582,1,debit_card,1,84.35
order_00000583,1,credit_card,1,39.62
order_00000584,1,credit_card,1,94.16
order_00000585,1,credit_card,1,150.73
order_00000586,1,credit_card,8,53.85
order_00000587,1,boleto,1,39.05
order_00000588,1,credit_card,2,182.38
order_00000589,1,credit_card,3,20.25
order_00000589,2,credit_card,5,43.57
order_00000590,1,credit_card,1,135.25
order_00000591,1,credit_card,6,325.25
order_00000592,1,credit_card,2,34.28
order_00000593,1,credit_card,2,109.09
order_00000594,1,credit_card,4,171.2
order_00000595,1,boleto,1,94.4
order_00000596,1,credit_card,3,127.49
order_00000597,1,voucher,1,45.86
order_00000598,1,boleto,1,28.7
order_00000599,1,credit_card,5,62.22
order_00000600,1,credit_card,8,93.47
order_00000601,1,credit_card,1,12.06
order_00000602,1,credit_card,3,25.88
order_00000603,1,voucher,1,70.13
order_00000604,1,boleto,1,424.56
order_00000605,1,credit_card,4,98.19
order_00000606,1,credit_card,6,381.6
order_00000607,1,credit_card,1,34.62
order_00000607,2,credit_card,10,21.24
order_00000608,1,credit_card,4,64.76
order_00000609,1,credit_card,5,6.31
order_00000610,1,boleto,1,186.34
order_00000611,1,credit_card,5,138.63
order_00000612,1,credit_card,3,39.2
order_00000613,1,boleto,1,44.64
order_00000614,1,credit_card,5,106.76
order_00000615,1,credit_card,5,39.63
order_00000616,1,credit_card,3,159.73
order_00000617,1,voucher,1,195.24
order_00000618,1,credit_card,1,77.0
order_00000619,1,credit_card,2,148.91
order_00000620,1,credit_card,1,23.46
order_00000621,1,boleto,1,31.61
order_00000622,1,credit_card,2,149.76
order_00000623,1,boleto,1,143.19
order_00000624,1,credit_card,3,201.85
order_00000624,2,credit_card,1,136.85
order_00000625,1,voucher,1,50.63
order_00000626,1,credit_card,2,51.96
order_00000627,1,boleto,1,69.48
order_00000628,1,voucher,1,68.88
order_00000629,1,credit_card,2,134.24
order_00000630,1,boleto,1,375.08
order_00000631,1,credit_card,3,55.09
order_00000632,1,voucher,1,46.8
order_00000633,1,boleto,1,80.99
order_00000634,1,credit_card,1,72.33
order_00000635,1,credit_card,6,111.28
order_00000636,1,boleto,1,202.71
order_00000637,1,credit_card,1,185.7
order_00000638,1,credit_card,1,338.56
order_00000639,1,credit_card,10,30.24
order_00000640,1,credit_card,3,179.02
order_00000641,1,credit_card,6,22.33
order_00000642,1,credit_card,2,31.93
order_00000643,1,boleto,1,144.99
order_00000644,1,credit_card,6,194.63
order_00000645,1,credit_card,4,58.61
order_00000646,1,credit_card,5,79.48
order_00000647,1,credit_card,10,220.64
order_00000648,1,credit_card,1,146.91
order_00000649,1,credit_card,1,187.62
order_00000650,1,credit_card,5,36.6
order_00000651,1,credit_card,6,298.25
order_00000652,1,debit_card,1,3.73
order_00000653,1,debit_card,1,172.31
order_00000654,1,credit_card,1,123.4
order_00000655,1,boleto,1,61.43
order_00000656,1,boleto,1,84.41
order_00000657,1,credit_card,1,117.94
order_00000658,1,credit_card,1,72.1
order_00000659,1,credit_card,6,79.93
order_00000660,1,credit_card,6,59.21
order_00000661,1,boleto,1,45.36
order_00000661,2,boleto,1,35.42
order_00000662,1,credit_card,1,452.07
order_00000663,1,credit_card,1,381.34
order_00000664,1,credit_card,3,96.71
order_00000665,1,credit_card,2,177.16
order_00000666,1,credit_card,10,118.49
order_00000667,1,voucher,1,140.74
order_00000668,1,boleto,1,22.69
order_00000669,1,debit_card,1,384.13
order_00000670,1,credit_card,3,127.97
order_00000671,1,credit_card,3,47.13
order_00000672,1,boleto,1,66.4
order_00000673,1,credit_card,6,47.63
order_00000674,1,credit_card,4,40.73
order_00000675,1,credit_card,2,213.05
order_00000676,1,debit_card,1,207.93
order_00000677,1,credit_card,1,27.67
order_00000678,1,credit_card,1,63.98
order_00000679,1,credit_card,6,133.7
order_00000680,1,credit_card,8,63.68
order_00000681,1,credit_card,2,126.94
order_00000682,1,boleto,1,44.77
order_00000683,1,credit_card,4,139.63
order_00000683,2,credit_card,1,65.25
order_00000684,1,boleto,1,74.23
order_00000685,1,credit_card,4,56.01
order_00000685,2,voucher,1,45.59
order_00000686,1,credit_card,1,40.96
order_00000687,1,credit_card,2,61.75
order_00000688,1,credit_card,4,267.7
order_00000689,1,credit_card,1,56.17
order_00000690,1,credit_card,1,48.37
order_00000691,1,credit_card,5,58.37
order_00000692,1,credit_card,3,127.59
order_00000693,1,debit_card,1,49.97
order_00000694,1,boleto,1,97.48
order_00000695,1,credit_card,2,147.24
order_00000696,1,credit_card,8,14.11
order_00000697,1,credit_card,5,33.48
order_00000698,1,credit_card,1,428.75
order_00000699,1,credit_card,2,52.93
order_00000700,1,debit_card,1,64.13
order_00000701,1,boleto,1,97.9
order_00000702,1,credit_card,1,321.26
order_00000703,1,credit_card,10,56.57
order_00000704,1,boleto,1,189.79
order_00000705,1,credit_card,10,131.18
order_00000706,1,credit_card,3,170.95
order_00000707,1,boleto,1,51.41
order_00000708,1,credit_card,1,831.84
order_00000709,1,voucher,1,20.93
