seller_id,seller_zip_code_prefix,seller_city,seller_state
sell_00000073,69464,campinas,SP
sell_00000074,69596,niteroi,RJ
sell_00000075,42778,belo horizonte,MG
sell_00000076,95010,duque de caxias,RJ
sell_00000077,26193,campinas,SP
sell_00000078,24963,brasilia,DF
sell_00000079,93109,sao bernardo do campo,SP
sell_00000080,21181,guarulhos,SP
sell_00000081,60343,santo andre,SP
sell_00000082,59634,brasilia,DF
sell_00000083,59886,blumenau,SC
sell_00000084,32398,recife,PE
sell_00000085,84120,contagem,MG
sell_00000086,31249,campinas,SP
sell_00000087,33444,belem,PA
sell_00000088,64995,sao paulo,SP
sell_00000089,50569,caxias do sul,RS
sell_00000090,47851,sao bernardo do campo,SP
sell_00000091,25408,campinas,SP
sell_00000092,36588,uberlandia,MG
sell_00000093,91600,cuiaba,MT
sell_00000094,11600,londrina,PR
sell_00000095,75225,londrina,PR
sell_00000096,81237,caxias do sul,RS
sell_00000097,89689,sao paulo,SP
sell_00000098,41179,sao bernardo do campo,SP
sell_00000099,87183,uberlandia,MG
sell_00000100,69472,aparecida de goiania,GO
sell_00000101,67917,caxias do sul,RS
sell_00000102,88802,rio de janeiro,RJ
sell_00000103,10861,santo andre,SP
sell_00000104,81741,porto alegre,RS
sell_00000105,91233,caxias do sul,RS
sell_00000106,37215,santo andre,SP
sell_00000107,34227,sao paulo,SP
sell_00000108,17217,niteroi,RJ
sell_00000109,14813,duque de caxias,RJ
sell_00000110,14250,florianopolis,SC
sell_00000111,89073,santo andre,SP
sell_00000112,53399,ananindeua,PA
sell_00000113,16426,porto alegre,RS
sell_00000114,64651,sao paulo,SP
sell_00000115,31146,florianopolis,SC
sell_00000116,90096,guarulhos,SP
sell_00000117,85010,santo andre,SP
sell_00000118,33254,santo andre,SP
sell_00000119,85886,nova iguacu,RJ
sell_00000120,14697,guarulhos,SP
sell_00000121,49229,rio de janeiro,RJ
sell_00000122,58309,guarulhos,SP
sell_00000123,18869,juiz de fora,MG
sell_00000124,82151,caucaia,CE
sell_00000125,48382,belo horizonte,MG
sell_00000126,27635,nova iguacu,RJ
sell_00000127,45968,salvador,BA
sell_00000128,79081,londrina,PR
sell_00000129,78766,sao bernardo do campo,SP
sell_00000130,37400,campinas,SP
sell_00000131,17626,santo andre,SP
sell_00000132,84890,belo horizonte,MG
sell_00000133,73394,rio de janeiro,RJ
sell_00000134,47642,santo andre,SP
sell_00000135,89802,sao bernardo do campo,SP
sell_00000136,44034,joinville,SC
sell_00000137,85385,pelotas,RS
sell_00000138,56380,santo andre,SP
sell_00000139,90516,aracaju,SE
sell_00000140,75063,santo andre,SP
sell_00000141,92818,santo andre,SP
sell_00000142,74553,sao bernardo do campo,SP
sell_00000143,89876,campinas,SP
sell_00000144,48074,campinas,SP
sell_00000145,10207,curitiba,PR
sell_00000146,13143,sao paulo,SP
sell_00000147,91980,sao bernardo do campo,SP
sell_00000148,37175,vitoria,ES
sell_00000149,64269,nova iguacu,RJ
sell_00000150,53750,belo horizonte,MG
sell_00000151,83454,teresina,PI
sell_00000152,11480,campinas,SP
sell_00000153,46913,campinas,SP
sell_00000154,18891,guarulhos,SP
sell_00000155,49358,guarulhos,SP
sell_00000156,82088,santo andre,SP
sell_00000157,10803,londrina,PR
sell_00000158,99893,sao paulo,SP
sell_00000159,54742,caxias do sul,RS
sell_00000160,84569,feira de santana,BA
sell_00000161,33020,belo horizonte,MG
sell_00000162,53321,campinas,SP
sell_00000163,98142,caucaia,CE
sell_00000164,72193,caxias do sul,RS
sell_00000165,94626,belo horizonte,MG
sell_00000166,73110,campinas,SP
sell_00000167,92208,goiania,GO
sell_00000168,80381,sao bernardo do campo,SP
sell_00000169,70616,duque de caxias,RJ
sell_00000170,17342,nova iguacu,RJ
sell_00000171,84048,brasilia,DF
sell_00000172,82768,jaboatao dos guararapes,PE
sell_00000173,37297,cuiaba,MT
sell_00000174,56346,jaboatao dos guararapes,PE
sell_00000175,29569,sao paulo,SP
sell_00000176,14085,londrina,PR
sell_00000177,59183,guarulhos,SP
sell_00000178,31753,santo andre,SP
sell_00000179,89388,santo andre,SP
sell_00000180,34560,sao bernardo do campo,SP
sell_00000181,25315,maringa,PR
sell_00000182,51222,sao luis,MA
sell_00000183,14145,pelotas,RS
sell_00000184,64246,duque de caxias,RJ
sell_00000185,75149,sao paulo,SP
sell_00000186,58704,niteroi,RJ
sell_00000187,49666,sao bernardo do campo,SP
sell_00000188,78825,campinas,SP
sell_00000189,32939,cuiaba,MT
sell_00000190,59049,sao paulo,SP
sell_00000191,36489,belo horizonte,MG
sell_00000192,68166,rio de janeiro,RJ
sell_00000193,73263,belo horizonte,MG
sell_00000194,34931,brasilia,DF
sell_00000195,73369,guarulhos,SP
sell_00000196,50679,santo andre,SP
sell_00000197,28781,brasilia,DF
sell_00000198,77652,florianopolis,SC
sell_00000199,36894,uberlandia,MG
sell_00000200,14791,maringa,PR
sell_00000201,60801,londrina,PR
sell_00000202,25182,santo andre,SP
sell_00000203,50760,rio de janeiro,RJ
sell_00000204,87894,curitiba,PR
sell_00000205,53684,sao paulo,SP
sell_00000206,16047,juiz de fora,MG
sell_00000207,78233,rio de janeiro,RJ
sell_00000208,12946,guarulhos,SP
sell_00000209,93735,contagem,MG
sell_00000210,52058,curitiba,PR
sell_00000211,35237,niteroi,RJ
sell_00000212,46261,aparecida de goiania,GO
sell_00000213,67817,contagem,MG
sell_00000214,45737,rio de janeiro,RJ
sell_00000215,30643,campinas,SP
sell_00000216,25002,ananindeua,PA
sell_00000217,91650,rio de janeiro,RJ
sell_00000218,77378,serra,ES
sell_00000219,37076,sao paulo,SP
sell_00000220,55916,santo andre,SP
sell_00000221,45527,contagem,MG
sell_00000222,47128,salvador,BA
sell_00000223,32449,belem,PA
sell_00000224,50812,sao paulo,SP
sell_00000225,80854,duque de caxias,RJ
sell_00000226,16648,jaboatao dos guararapes,PE
sell_00000227,13800,brasilia,DF
sell_00000228,98538,sao bernardo do campo,SP
sell_00000229,23884,sao paulo,SP
sell_00000230,17051,caucaia,CE
sell_00000231,65897,sao paulo,SP
sell_00000232,33459,caxias do sul,RS
sell_00000233,90781,brasilia,DF
sell_00000234,50952,contagem,MG
sell_00000235,35971,feira de santana,BA
sell_00000236,71039,belo horizonte,MG
sell_00000237,27274,santo andre,SP
sell_00000238,71377,curitiba,PR
sell_00000239,69714,sao paulo,SP
sell_00000240,99715,duque de caxias,RJ
sell_00000241,71675,sao bernardo do campo,SP
sell_00000242,39333,porto alegre,RS
sell_00000243,90863,salvador,BA
sell_00000244,57638,guarulhos,SP
sell_00000245,34032,sao bernardo do campo,SP
sell_00000246,52567,guarulhos,SP
sell_00000247,73898,brasilia,DF
sell_00000248,18567,sao paulo,SP
sell_00000249,24796,caxias do sul,RS
