geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
22799,-20.170048068362096,-44.024034611041536,uberlandia,MG
68355,-19.814083976813382,-43.956578448744246,uberlandia,MG
33091,-19.618312846529545,-44.3589322240328,uberlandia,MG
50374,-20.34827905871987,-43.84573866655527,contagem,MG
63188,-20.04746332414207,-44.08811458440932,contagem,MG
19123,-20.43041701575232,-43.89413624656054,contagem,MG
88415,-19.915826532400228,-43.70395630541448,contagem,MG
24253,-19.879328160063707,-43.939781223472146,contagem,MG
99850,-19.5468998089629,-44.293740191034566,juiz de fora,MG
88172,-19.739083234345724,-44.4013441494386,juiz de fora,MG
59664,-20.151508564000242,-44.263797139786995,juiz de fora,MG
52914,-19.665417239364423,-43.919623070078615,juiz de fora,MG
74788,-19.904050973377892,-44.23201989631883,juiz de fora,MG
94540,-30.08990804877987,-51.42903959099274,porto alegre,RS
96529,-29.884963495543737,-51.49732734059949,porto alegre,RS
18058,-29.601061690438478,-51.70267413488723,porto alegre,RS
21866,-30.24195594973697,-50.696839847010175,porto alegre,RS
38522,-30.13054162438861,-51.59446359932133,porto alegre,RS
28208,-29.9342785312387,-51.34261767266437,caxias do sul,RS
86122,-30.250761076685492,-51.528761243239614,caxias do sul,RS
93379,-29.169487918312218,-51.275465570055246,caxias do sul,RS
10024,-30.577670208099864,-50.751887072298345,caxias do sul,RS
29231,-29.81667872846683,-51.42993992930594,caxias do sul,RS
96623,-30.279935726605842,-50.99795816115253,pelotas,RS
29558,-30.074075498246838,-51.77779334553353,pelotas,RS
69372,-29.4638280106186,-51.330197138664786,pelotas,RS
79632,-29.55132847905527,-50.81646951261029,pelotas,RS
48207,-30.300302863344843,-50.89004304069106,pelotas,RS
61115,-25.595432764959103,-49.86001017604118,curitiba,PR
90684,-25.52737944980664,-49.180708749467115,curitiba,PR
85750,-25.5388209943989,-49.39211450227753,curitiba,PR
68610,-25.056930186521416,-49.26805180591297,curitiba,PR
35646,-25.652989493385483,-49.0893909028998,curitiba,PR
36956,-25.340697329913723,-50.05648144043861,londrina,PR
99327,-25.271494125868564,-49.18245138768517,londrina,PR
51497,-25.393963661125742,-49.03248982567912,londrina,PR
49286,-25.60171807529795,-49.199050063353724,londrina,PR
84747,-25.870087811350203,-49.177872884980346,londrina,PR
99071,-24.81408209133803,-49.59845690574026,maringa,PR
49917,-25.627940639596332,-49.513004632867464,maringa,PR
66980,-25.36100053225952,-49.61891088185611,maringa,PR
55123,-25.273625786392703,-49.04594801635925,maringa,PR
21703,-25.239695835963865,-49.83052462769142,maringa,PR
86379,-27.30144970045242,-48.2187897757239,florianopolis,SC
11064,-27.35095158829611,-48.38814732540325,florianopolis,SC
90149,-27.53394320573846,-48.19028318056208,florianopolis,SC
76902,-27.022945953718967,-48.785912139009454,florianopolis,SC
62978,-27.27656238126157,-48.525865129402234,florianopolis,SC
26718,-27.63890191560858,-48.96095920711461,joinville,SC
48559,-27.68543682285462,-48.799179487390525,joinville,SC
18180,-27.739156328851784,-48.829455915133444,joinville,SC
58394,-27.734672516193903,-48.62183310710702,joinville,SC
81943,-27.57097352446836,-48.9844249586874,joinville,SC
16963,-28.0336554443236,-48.391425718780845,blumenau,SC
10110,-27.839231435121032,-48.17764106293102,blumenau,SC
83404,-27.53241908339549,-48.31797135493808,blumenau,SC
57086,-27.176792303873732,-48.59291324354197,blumenau,SC
24378,-27.772346011624883,-48.238489224320354,blumenau,SC
46989,-12.817145930821095,-38.55619909294639,salvador,BA
14087,-12.552562609913219,-38.56367329295198,salvador,BA
40833,-12.960167908733267,-38.49363320474972,salvador,BA
66585,-13.250378168469542,-38.476724383154085,salvador,BA
87353,-12.550971946780454,-38.36650950538715,salvador,BA
61677,-12.960680972080322,-38.5485301843497,feira de santana,BA
91948,-12.870739891478095,-38.275070011453245,feira de santana,BA
51697,-12.787228350733075,-38.599559458546594,feira de santana,BA
60173,-12.872565521766965,-38.35601807765552,feira de santana,BA
63219,-13.272158496258093,-38.44953083764489,feira de santana,BA
60012,-13.61839116589071,-38.35523988705364,vitoria da conquista,BA
67041,-12.771897083631195,-38.27573616226406,vitoria da conquista,BA
81449,-13.08851405565087,-38.40728594949279,vitoria da conquista,BA
37684,-12.542813846337651,-38.07586910551262,vitoria da conquista,BA
96833,-12.978751809767969,-38.45820411078113,vitoria da conquista,BA
32729,-15.46672665657967,-48.35024060457865,brasilia,DF
72242,-15.896922722803108,-47.499328863338974,brasilia,DF
28228,-15.507439837494571,-47.78922086670503,brasilia,DF
34671,-16.251749721599186,-47.91497306991235,brasilia,DF
82800,-15.97697461887498,-47.80068832915484,brasilia,DF
60409,-16.942804005438465,-49.60771701849238,goiania,GO
57223,-17.319459583305093,-48.93345859450699,goiania,GO
64687,-16.819931153432915,-49.25285626488924,goiania,GO
30220,-16.700671434942254,-49.620230179888146,goiania,GO
47810,-17.077719473434456,-49.601594537799166,goiania,GO
97826,-16.916950531648816,-49.190018125895854,aparecida de goiania,GO
26455,-16.938715299056184,-48.77605281052161,aparecida de goiania,GO
27600,-16.391854689232055,-49.05749213510028,aparecida de goiania,GO
11520,-16.735897670741945,-48.84571577928385,aparecida de goiania,GO
19403,-16.765401689336336,-49.30937842424627,aparecida de goiania,GO
94985,-7.949007638075219,-34.689453087836995,recife,PE
12058,-7.808927576299104,-35.04253758353338,recife,PE
28873,-8.159898115827787,-34.708029112854376,recife,PE
73792,-7.78542902483263,-35.01800533744686,recife,PE
96235,-8.476156420903536,-34.962194828802474,recife,PE
67243,-7.8129422603522425,-34.358374946074065,jaboatao dos guararapes,PE
27796,-8.3593873887022,-35.02797137584917,jaboatao dos guararapes,PE
21097,-8.116821068457613,-34.493258398170546,jaboatao dos guararapes,PE
27985,-8.010482450137589,-35.17219796781168,jaboatao dos guararapes,PE
94180,-7.832391415123454,-35.02139155601228,jaboatao dos guararapes,PE
64507,-4.067316182007387,-38.76783199218284,fortaleza,CE
69772,-3.1797874136732145,-38.38473723350516,fortaleza,CE
89223,-3.6676719833642375,-38.57496812074361,fortaleza,CE
65797,-3.6123553473643604,-38.41592921619925,fortaleza,CE
91690,-3.6123493515378025,-38.46554647291667,fortaleza,CE
33566,-3.4393604985083353,-38.49306869619978,caucaia,CE
69558,-3.9933816506657918,-38.68372686727026,caucaia,CE
76770,-4.293705608046913,-37.89195486518728,caucaia,CE
65590,-3.441173622414194,-38.74902114853877,caucaia,CE
82358,-3.78455345481913,-38.69106294226193,caucaia,CE
68988,-0.9872358365877649,-48.92596314928128,belem,PA
60425,-1.4156571823543662,-48.532558352769456,belem,PA
56570,-1.2019484107872658,-48.53120276831741,belem,PA
39588,-1.9774626629966305,-48.575335350392734,belem,PA
34352,-1.7416486653829975,-48.47612613603303,belem,PA
65675,-1.019746889043902,-49.02182757326968,ananindeua,PA
89242,-1.6900668206199712,-48.66580788613505,ananindeua,PA
10973,-1.5644893286239634,-48.27796230076843,ananindeua,PA
85751,-1.5020633252684161,-48.37525918228387,ananindeua,PA
75294,-1.637731913119533,-48.43102269637462,ananindeua,PA
41031,-20.066660710736688,-40.519689864921126,vitoria,ES
75762,-20.065592564058047,-40.284288169381725,vitoria,ES
45291,-19.986361927855324,-40.36042597002309,vitoria,ES
63849,-20.18562660345137,-40.312181869503554,vitoria,ES
81587,-20.328863678612173,-40.22232087153229,vitoria,ES
85543,-20.13895775923253,-40.674869473577196,vila velha,ES
58099,-19.869909917354637,-40.857898912164934,vila velha,ES
14385,-20.50544363292167,-40.32828072122947,vila velha,ES
14963,-20.176293209274217,-39.827148241677584,vila velha,ES
84468,-20.857487446467534,-40.45230823851691,vila velha,ES
73342,-20.93805004633978,-40.29051340782692,serra,ES
58310,-20.218494924649992,-39.82276127734862,serra,ES
24832,-20.263809571731965,-39.98679246116728,serra,ES
86056,-20.124848875538284,-40.43057445910155,serra,ES
73115,-20.72268822403761,-40.21749931051245,serra,ES
20494,-16.04763060514361,-55.711437878199106,cuiaba,MT
28623,-15.648618630611047,-55.741446776546574,cuiaba,MT
78997,-15.74406433023972,-56.019344764079705,cuiaba,MT
46624,-15.537195342799594,-56.11351323540328,cuiaba,MT
70940,-15.729797854018978,-55.982263194458845,cuiaba,MT
77757,-20.77784897904496,-54.96283059868772,campo grande,MS
20254,-20.12715193200195,-54.38184960333237,campo grande,MS
78597,-20.480232517419328,-54.100457285236864,campo grande,MS
89963,-20.580329655617454,-54.20318903400331,campo grande,MS
21592,-20.447327774522254,-54.90742522502292,campo grande,MS
42142,-1.945587942468745,-44.002786746012774,sao luis,MA
71925,-2.5363063093028693,-44.08184862213981,sao luis,MA
92662,-2.621111030199372,-44.051255289482135,sao luis,MA
96997,-3.217323569585188,-44.60594040010837,sao luis,MA
97650,-2.206222076713911,-44.37489666146567,sao luis,MA
20234,-5.737737311533377,-35.60403569863463,natal,RN
99662,-5.245639901289369,-34.8428411068847,natal,RN
93058,-5.860205565512599,-35.321408757059004,natal,RN
80673,-5.491118691574092,-34.60525886494933,natal,RN
85973,-5.513871923256594,-34.54845919978102,natal,RN
50959,-7.376705398718575,-35.14581604914964,joao pessoa,PB
90352,-7.456682335416004,-34.76747180510515,joao pessoa,PB
16917,-7.047318935058689,-34.94558533704159,joao pessoa,PB
55029,-6.8572224115630105,-34.5303014184356,joao pessoa,PB
80127,-7.557698722786053,-35.079091608370334,joao pessoa,PB
11413,-9.403956921763083,-35.84032160515758,maceio,AL
71455,-9.889461822907446,-35.394438771704884,maceio,AL
69511,-10.036850020917194,-35.790473942337336,maceio,AL
77195,-9.551406792258557,-35.87214597417304,maceio,AL
71503,-9.415053303196048,-35.87066309255921,maceio,AL
85230,-10.477414151966224,-37.13772388924873,aracaju,SE
53452,-10.698618958988394,-36.87619281410516,aracaju,SE
65183,-11.088262000823223,-37.716045964596766,aracaju,SE
56257,-10.79177327360085,-37.07831349586254,aracaju,SE
48616,-10.733252191727463,-37.16795824171485,aracaju,SE
47907,-5.229128309640214,-42.19745809670549,teresina,PI
31955,-5.541706218453233,-42.57981485649073,teresina,PI
14630,-5.272380557455017,-42.90073358532212,teresina,PI
88333,-5.195130849772189,-43.04103028225138,teresina,PI
49855,-4.928632736929128,-42.38280692121501,teresina,PI
83886,-8.658995901626001,-63.86898540113637,porto velho,RO
44136,-9.095932149729775,-63.744952420252666,porto velho,RO
18050,-8.15309511048121,-64.01420838713852,porto velho,RO
92483,-8.91279507380556,-64.06832673929429,porto velho,RO
72018,-8.946824270348326,-64.72358986610172,porto velho,RO
85778,-10.078489384243285,-48.55366565290638,palmas,TO
32161,-10.683078935637539,-48.074043015080235,palmas,TO
85085,-10.52460533551258,-48.40160071616513,palmas,TO
16765,-9.760067282643424,-48.72276473940735,palmas,TO
96025,-10.659779470379329,-48.2192081431313,palmas,TO
48240,-9.62515379079689,-68.27230251531958,rio branco,AC
91830,-9.847693078948847,-67.6257001380115,rio branco,AC
13578,-10.587748145107696,-67.56044959862783,rio branco,AC
47593,-9.707018236047347,-67.8935356719768,rio branco,AC
73538,-9.594296091310598,-67.45906332770254,rio branco,AC
20814,-3.069064622284839,-60.13543361709748,manaus,AM
26622,-3.3918483677748874,-60.01126905280986,manaus,AM
76269,-2.929072324088746,-60.09725305831219,manaus,AM
20074,-3.759250301578609,-59.61938583162703,manaus,AM
46418,-3.042933033446532,-60.11388734900305,manaus,AM
43036,0.2971475165269865,-50.61260842105517,macapa,AP
27372,-0.8005734708463674,-50.93972090502338,macapa,AP
90713,-0.38799476324310417,-50.92026684796032,macapa,AP
46827,0.07837816071237377,-50.879282042067835,macapa,AP
46073,-0.10977428434839656,-51.63197203354574,macapa,AP
43679,2.6648895426229995,-60.57794570945807,boa vista,RR
11861,3.1046176986025666,-61.05154939014176,boa vista,RR
24621,3.1081181280619052,-60.89436168689396,boa vista,RR
89144,2.9087349644783576,-60.852968185859694,boa vista,RR
32886,2.8546511883136305,-60.432436709628924,boa vista,RR
