order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,seller_zip_code_prefix,seller_city,seller_state,payment_value,payment_installments,payment_type,review_score,total_price,order_purchase_month,delivery_time_days,estimated_time_days,delivery_delay_days
order_00000033,1,prod_00000450,sell_00000159,2025-03-24 15:40:27,211.72,20.94,cust_00002642,delivered,2025-03-17 15:40:27,2025-03-18 05:24:09.790448,2025-03-21 12:28:29.939688,2025-03-30 00:01:29.310814,2025-03-28 15:40:27,uniq_00002642,57962,caxias do sul,RS,eletronicos,28,559,2,349,57,27,10,electronics,54742,caxias do sul,RS,282.54,1,boleto,4.0,232.66,2025-03,12.0,11,1.0
order_00000033,2,prod_00000668,sell_00000074,2025-03-22 15:40:27,43.08,6.8,cust_00002642,delivered,2025-03-17 15:40:27,2025-03-18 05:24:09.790448,2025-03-21 12:28:29.939688,2025-03-30 00:01:29.310814,2025-03-28 15:40:27,uniq_00002642,57962,caxias do sul,RS,telefonia,43,2954,3,616,19,57,28,telephony,69596,niteroi,RJ,282.54,1,boleto,4.0,49.879999999999995,2025-03,12.0,11,1.0
order_00000034,1,prod_00000528,sell_00000050,2024-08-22 19:52:31,48.7,2.35,cust_00001915,delivered,2024-08-18 19:52:31,2024-08-19 02:09:01.482507,2024-08-21 13:49:20.349537,2024-08-23 00:34:48.595528,2024-09-06 19:52:31,uniq_00001915,59996,contagem,MG,pet_shop,24,2874,3,720,30,24,5,pet_shop,51012,jaboatao dos guararapes,PE,51.05,1,debit_card,5.0,51.050000000000004,2024-08,4.0,19,-15.0
order_00000035,1,prod_00000660,sell_00000219,2024-06-17 20:54:18,52.12,1.66,cust_00000582,delivered,2024-06-12 20:54:18,2024-06-13 03:33:24.151545,2024-06-13 17:33:12.988945,2024-06-19 22:43:44.131335,2024-06-27 20:54:18,uniq_00000582,14373,sao bernardo do campo,SP,beleza_saude,56,1928,5,1254,53,42,23,health_beauty,37076,sao paulo,SP,53.78,1,credit_card,3.0,53.779999999999994,2024-06,7.0,15,-8.0
order_00000036,1,prod_00000557,sell_00000006,2025-07-03 12:43:07,18.44,2.52,cust_00000860,shipped,2025-06-26 12:43:07,2025-06-26 16:50:19.501741,2025-06-29 18:56:28.891730,,2025-07-12 12:43:07,uniq_00000860,45755,campinas,SP,utilidades_domesticas,48,2597,4,485,96,40,53,housewares,68873,duque de caxias,RJ,20.96,3,credit_card,2.0,20.96,2025-06,,16,
order_00000037,1,prod_00000068,sell_00000085,2024-07-06 17:07:37,163.0,10.89,cust_00000213,delivered,2024-07-04 17:07:37,2024-07-04 20:28:30.087271,2024-07-06 11:22:24.370889,2024-07-08 04:56:04.800708,2024-07-20 17:07:37,uniq_00000213,50001,contagem,MG,pet_shop,30,1662,3,881,62,5,7,pet_shop,84120,contagem,MG,173.89,1,voucher,5.0,173.89,2024-07,3.0,16,-13.0
order_00000038,1,prod_00000362,sell_00000097,2024-11-26 10:14:35,77.22,10.6,cust_00000062,delivered,2024-11-22 10:14:35,2024-11-22 13:47:42.776392,2024-11-23 20:26:35.227642,2024-11-25 18:01:51.232462,2024-12-07 10:14:35,uniq_00000062,60432,porto alegre,RS,informatica_acessorios,32,2727,5,1868,97,21,54,computers_accessories,89689,sao paulo,SP,87.82,2,credit_card,5.0,87.82,2024-11,3.0,15,-12.0
order_00000039,1,prod_00000548,sell_00000050,2024-07-29 19:30:47,53.63,2.6,cust_00002044,delivered,2024-07-26 19:30:47,2024-07-27 02:27:38.934917,2024-07-28 04:37:27.990033,2024-08-03 02:08:52.761270,2024-08-12 19:30:47,uniq_00002044,32280,contagem,MG,relogios_presentes,40,2421,2,4091,82,53,37,watches_gifts,51012,jaboatao dos guararapes,PE,56.23,1,boleto,4.0,56.230000000000004,2024-07,7.0,17,-10.0
order_00000040,1,prod_00000678,sell_00000164,2024-05-12 04:45:26,54.98,7.19,cust_00001988,delivered,2024-05-10 04:45:26,2024-05-10 05:47:08.360492,2024-05-11 19:21:14.093650,2024-05-13 19:16:30.276648,2024-05-27 04:45:26,uniq_00001988,70846,guarulhos,SP,telefonia,26,183,1,1005,45,30,14,telephony,72193,caxias do sul,RS,62.17,1,boleto,2.0,62.169999999999995,2024-05,3.0,17,-14.0
order_00000041,1,prod_00000536,sell_00000151,2024-11-13 04:29:53,224.0,34.85,cust_00002025,delivered,2024-11-08 04:29:53,2024-11-08 05:36:01.531733,2024-11-18 10:18:49.608912,2024-11-26 17:17:25.067534,2024-11-25 04:29:53,uniq_00002025,93964,guarulhos,SP,fashion_bolsas_e_acessorios,33,1190,3,2148,78,53,37,fashion_bags_accessories,83454,teresina,PI,258.85,10,credit_card,4.0,258.85,2024-11,18.0,17,1.0
order_00000042,1,prod_00000770,sell_00000173,2024-05-18 04:41:09,116.06,10.96,cust_00002470,delivered,2024-05-11 04:41:09,2024-05-11 11:35:00.184885,2024-05-13 23:17:01.381241,2024-05-18 04:49:24.045802,2024-05-29 04:41:09,uniq_00002470,98503,sao bernardo do campo,SP,fashion_bolsas_e_acessorios,62,2272,1,3517,94,5,48,fashion_bags_accessories,37297,cuiaba,MT,207.84,1,credit_card,4.0,127.02000000000001,2024-05,7.0,18,-11.0
order_00000042,2,prod_00000160,sell_00000139,2024-05-18 04:41:09,70.07,10.75,cust_00002470,delivered,2024-05-11 04:41:09,2024-05-11 11:35:00.184885,2024-05-13 23:17:01.381241,2024-05-18 04:49:24.045802,2024-05-29 04:41:09,uniq_00002470,98503,sao bernardo do campo,SP,cama_mesa_banho,36,2502,5,14066,42,8,27,bed_bath_table,90516,aracaju,SE,207.84,1,credit_card,4.0,80.82,2024-05,7.0,18,-11.0
order_00000043,1,prod_00000394,sell_00000164,2024-01-31 18:29:55,21.24,1.8,cust_00002224,delivered,2024-01-24 18:29:55,2024-01-24 20:29:03.025301,2024-01-31 05:06:29.421081,2024-02-23 09:39:27.271791,2024-02-10 18:29:55,uniq_00002224,90065,guarulhos,SP,perfumaria,77,576,4,2240,75,49,29,perfumery,72193,caxias do sul,RS,70.31,5,credit_card,1.0,23.04,2024-01,29.0,17,12.0
order_00000043,2,prod_00000686,sell_00000009,2024-01-27 18:29:55,14.79,1.13,cust_00002224,delivered,2024-01-24 18:29:55,2024-01-24 20:29:03.025301,2024-01-31 05:06:29.421081,2024-02-23 09:39:27.271791,2024-02-10 18:29:55,uniq_00002224,90065,guarulhos,SP,pet_shop,24,2787,4,1962,99,37,34,pet_shop,86156,campinas,SP,70.31,5,credit_card,1.0,15.919999999999998,2024-01,29.0,17,12.0
order_00000043,3,prod_00000532,sell_00000190,2024-01-28 18:29:55,29.51,1.84,cust_00002224,delivered,2024-01-24 18:29:55,2024-01-24 20:29:03.025301,2024-01-31 05:06:29.421081,2024-02-23 09:39:27.271791,2024-02-10 18:29:55,uniq_00002224,90065,guarulhos,SP,esporte_lazer,31,428,3,3693,98,5,7,sports_leisure,59049,sao paulo,SP,70.31,5,credit_card,1.0,31.35,2024-01,29.0,17,12.0
order_00000044,1,prod_00000292,sell_00000049,2024-08-22 17:52:10,168.0,21.02,cust_00001144,delivered,2024-08-16 17:52:10,2024-08-16 21:29:37.505659,2024-08-18 11:26:30.520011,2024-08-23 05:59:19.921840,2024-08-31 17:52:10,uniq_00001144,23133,curitiba,PR,esporte_lazer,67,2448,4,1044,97,29,50,sports_leisure,89682,salvador,BA,210.05,1,boleto,2.0,189.02,2024-08,6.0,15,-9.0
